city,timestamp,temperature,cloud_cover,cloud_cover_description,pressure,windspeed,precipitation,felt_temperature,Date,Weekday,time,minute
Philadelphia,2020-12-31 00:54:00,5.0,27.0,Mostly Cloudy,1021.09,19.0,0.0,1.0,2020-12-31,3,00:54:00,54
Philadelphia,2020-12-31 01:54:00,4.0,27.0,Mostly Cloudy,1020.42,13.0,0.0,1.0,2020-12-31,3,01:54:00,54
Philadelphia,2020-12-31 02:54:00,6.0,26.0,Cloudy,1019.4,15.0,0.0,2.0,2020-12-31,3,02:54:00,54
Philadelphia,2020-12-31 03:54:00,7.0,26.0,Cloudy,1018.72,20.0,0.0,3.0,2020-12-31,3,03:54:00,54
Philadelphia,2020-12-31 04:54:00,7.0,26.0,Cloudy,1018.05,24.0,0.0,3.0,2020-12-31,3,04:54:00,54
Philadelphia,2020-12-31 05:54:00,8.0,26.0,Cloudy,1017.03,26.0,0.0,4.0,2020-12-31,3,05:54:00,54
Philadelphia,2020-12-31 06:54:00,9.0,26.0,Cloudy,1016.69,24.0,0.0,6.0,2020-12-31,3,06:54:00,54
Philadelphia,2020-12-31 07:54:00,9.0,26.0,Cloudy,1016.35,24.0,0.0,6.0,2020-12-31,3,07:54:00,54
Philadelphia,2020-12-31 08:54:00,9.0,26.0,Cloudy,1015.34,30.0,0.0,6.0,2020-12-31,3,08:54:00,54
Philadelphia,2020-12-31 09:54:00,9.0,26.0,Cloudy,1015.0,26.0,0.0,6.0,2020-12-31,3,09:54:00,54
Philadelphia,2020-12-31 10:54:00,9.0,26.0,Cloudy,1016.01,26.0,0.0,6.0,2020-12-31,3,10:54:00,54
Philadelphia,2020-12-31 11:54:00,9.0,26.0,Cloudy,1017.03,20.0,0.0,6.0,2020-12-31,3,11:54:00,54
Philadelphia,2020-12-31 12:54:00,8.0,26.0,Cloudy,1018.05,13.0,0.0,6.0,2020-12-31,3,12:54:00,54
Philadelphia,2020-12-31 13:54:00,9.0,11.0,Light Rain,1019.06,9.0,0.0,8.0,2020-12-31,3,13:54:00,54
Philadelphia,2020-12-31 14:54:00,8.0,11.0,Light Rain,1020.42,0.0,1.02,8.0,2020-12-31,3,14:54:00,54
Philadelphia,2020-12-31 15:54:00,8.0,26.0,Cloudy,1021.43,17.0,0.0,6.0,2020-12-31,3,15:54:00,54
Philadelphia,2020-12-31 16:54:00,8.0,26.0,Cloudy,1020.42,15.0,0.0,5.0,2020-12-31,3,16:54:00,54
Philadelphia,2020-12-31 17:54:00,7.0,26.0,Cloudy,1020.42,17.0,0.0,4.0,2020-12-31,3,17:54:00,54
Philadelphia,2020-12-31 18:54:00,7.0,26.0,Cloudy,1021.77,13.0,0.0,4.0,2020-12-31,3,18:54:00,54
Philadelphia,2020-12-31 19:54:00,7.0,26.0,Cloudy,1022.45,15.0,0.0,3.0,2020-12-31,3,19:54:00,54
Philadelphia,2020-12-31 20:54:00,6.0,11.0,Light Rain,1024.14,20.0,0.0,2.0,2020-12-31,3,20:54:00,54
Philadelphia,2020-12-31 21:54:00,5.0,26.0,Cloudy,1024.48,6.0,0.0,5.0,2020-12-31,3,21:54:00,54
Philadelphia,2020-12-31 22:54:00,6.0,26.0,Cloudy,1025.49,9.0,0.0,3.0,2020-12-31,3,22:54:00,54
Philadelphia,2020-12-31 23:54:00,5.0,26.0,Cloudy,1026.85,19.0,0.0,1.0,2020-12-31,3,23:54:00,54
Philadelphia,2021-01-01 00:54:00,5.0,26.0,Cloudy,1027.19,11.0,0.0,2.0,2021-01-01,4,00:54:00,54
