Station,POI_Count
3004,43
3005,48
3006,23
3007,9
3008,9
3009,22
3010,31
3011,5
3012,20
3013,4
3014,10
3015,17
3016,1
3017,0
3018,64
3019,7
3020,7
3021,53
3022,35
3024,43
3025,8
3026,16
3028,26
3029,44
3030,15
3031,37
3032,31
3033,28
3034,5
3035,11
3037,36
3038,17
3039,7
3040,22
3041,9
3043,0
3045,41
3046,58
3047,26
3049,12
3050,24
3051,12
3052,32
3053,3
3054,24
3055,18
3056,16
3057,14
3058,14
3059,13
3060,24
3061,35
3062,24
3063,14
3064,1
3065,10
3066,17
3067,5
3068,2
3069,3
3070,7
3071,0
3072,1
3073,3
3074,22
3075,7
3077,3
3078,61
3086,6
3088,5
3093,2
3096,10
3097,1
3098,9
3099,3
3100,7
3101,13
3102,12
3104,1
3106,3
3107,0
3108,56
3110,6
3111,3
3112,13
3113,7
3114,8
3115,3
3116,17
3117,12
3118,4
3119,14
3120,2
3121,29
3123,8
3124,31
3125,18
3150,6
3152,6
3153,2
3154,8
3155,8
3156,54
3157,5
3158,9
3159,41
3160,6
3161,36
3162,20
3163,20
3164,16
3165,7
3166,10
3167,58
3168,63
3169,7
3170,11
3181,5
3182,98
3183,4
3184,4
3185,52
3186,24
3187,18
3188,1
3190,87
3192,21
3196,0
3197,2
3200,7
3201,25
3202,100
3203,4
3204,8
3205,55
3206,85
3207,54
3208,34
3209,39
3210,17
3211,1
3212,9
3213,4
3214,32
3226,9
3233,0
3234,39
3235,16
3236,12
3237,4
3238,6
3240,1
3241,4
3243,1
3244,4
3245,32
3246,29
3247,2
3248,19
3249,19
3250,0
3251,5
3252,4
3253,2
3254,6
3255,54
3256,44
3257,6
3258,6
3259,2
3261,21
3263,8
3264,6
3265,5
3266,0
3267,0
3271,3
3272,2
3273,7
3275,1
3276,3
3277,2
3278,1
3279,13
3280,4
3281,0
3282,1
3284,2
3285,4
3286,4
3287,0
3291,2
3294,85
3295,58
3296,100
3298,27
3299,20
3300,24
