,@id,@type,@lat,@lon,name
0,2330248,relation,52.2469448,13.898032,"Philadelphia, Kreuzung"
1,2629927,relation,39.9899104,-75.2497925,Overbrook
2,4744254,relation,39.9560769,-75.1822083,Philadelphia 30th Street Station
3,7929726,relation,39.9053479,-75.1731515,NRG
4,7929727,relation,39.9511225,-75.1970778,37th Street
5,7929728,relation,39.9549771,-75.1842805,30th Street
6,7929732,relation,39.9522166,-75.161329,13th Street
7,7929735,relation,39.9517755,-75.1583384,11th Street
8,7929737,relation,39.9237807,-75.1694974,Snyder
9,7929738,relation,39.9298429,-75.1685395,Tasker-Morris
10,7929741,relation,39.9559057,-75.1532615,Chinatown
11,7929744,relation,39.9569312,-75.1626045,Race-Vine
12,7929753,relation,39.9539101,-75.1675345,Suburban Station
13,7929754,relation,39.9533763,-75.1715899,19th Street
14,7929757,relation,39.9571584,-75.2019511,40th Street
15,7929943,relation,39.9558811,-75.1915056,34th Street
16,7929945,relation,39.9540086,-75.1766675,22nd Street
17,7939405,relation,39.9539207,-75.1946152,36th Street
18,7950690,relation,39.9511321,-75.153548,8th & Market (PATCO)
19,7950691,relation,39.9510289,-75.1536083,8th Street
20,7950735,relation,39.9499327,-75.1441799,2nd Street
21,7950741,relation,39.9505052,-75.148885,5th Street
22,7950754,relation,39.9526609,-75.1655756,15th Street
23,7950755,relation,39.9586524,-75.2140084,46th Street
24,7950756,relation,39.9600015,-75.2248665,52nd Street
25,7950758,relation,39.9627074,-75.2467017,63rd Street
26,7962384,relation,39.9619741,-75.240803,60th Street
27,7963431,relation,39.948256,-75.1642186,Walnut-Locust
28,7963446,relation,39.952082,-75.1638588,City Hall (BSL)
29,7975506,relation,39.9888601,-75.1272951,Huntingdon
30,7975507,relation,39.9915719,-75.122438,Somerset
31,7975510,relation,39.9964519,-75.1134968,Allegheny (MFL)
32,7975511,relation,40.000267,-75.1065122,Tioga
33,7975512,relation,40.0059643,-75.0962119,Erie-Torresdale
34,7975513,relation,40.010601,-75.0889629,Church
35,7975516,relation,40.0164202,-75.084067,Arrott Transportation Center
36,7981430,relation,40.0228599,-75.0781,Frankford Transportation Center
37,8010431,relation,40.0015939,-75.1528707,Allegheny (BSL)
38,8010436,relation,39.9786616,-75.157829,Cecil B. Moore
39,8010437,relation,39.9714695,-75.1594076,Girard (BSL)
40,8010440,relation,39.9663274,-75.1604466,Fairmount
41,8010441,relation,39.9624424,-75.1614364,Spring Garden (BSL)
42,8010442,relation,39.9485234,-75.1669992,15th-16th & Locust
43,8010443,relation,39.9441505,-75.1653966,Lombard-South
44,8010445,relation,39.936184,-75.1671287,Ellsworth-Federal
45,8186452,relation,39.9478788,-75.1617013,12th-13th & Locust
46,8589496,relation,40.0757741,-75.0831797,Fox Chase
47,8591070,relation,40.063736,-75.08675,Ryers
48,8591156,relation,40.0335108,-75.1224507,Olney
49,8592860,relation,40.1306046,-75.0120941,Somerton
50,9214361,relation,40.0341591,-75.2355583,Ivy Ridge
51,10132049,relation,40.04179,-75.1366514,Fern Rock Transportation Center (BSL)
52,10289554,relation,40.0245726,-75.1478636,Wyoming
53,10415121,relation,39.9481303,-75.189991,University City
54,10419599,relation,39.981655,-75.1495089,Temple University
55,10419605,relation,40.0540967,-74.9847256,Torresdale
56,10419606,relation,40.0233264,-75.0390377,Tacony
57,10419607,relation,40.0326562,-75.0238248,Holmesburg Junction
